rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
116,"spotify:track:0ErzcmZ2gIwX7X0xSMQPix","NCT, NCT U","BOSS","SM Entertainment",116,178,2,"3310"
117,"spotify:track:2wrJq5XKLnmhRXHIAf9xBa","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)","Warner Music Nashville",117,164,2,"3308"
118,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",94,94,2,"3302"
119,"spotify:track:6sI8Q7TTJeA9exw6hxEqq3","MAX, SUGA","Blueberry Eyes (feat. SUGA of BTS)","Colour Vision Records/Sony Music Entertainment",100,100,2,"3300"
120,"spotify:track:4CvId64YZSB0RfRdfzPIQU","BTS","So What","BIGHIT MUSIC",120,167,2,"3297"
121,"spotify:track:5FOnZ5yGWaKk0bxHOigYQk","CHUNG HA","X (걸어온 길에 꽃밭 따윈 없었죠)","Genie Music Corporation, Stone Music Entertainment",121,175,2,"3296"
122,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","222 Records/Interscope Records",122,136,2,"3285"
123,"spotify:track:0PoAZ7SLFpqpYR9LSCYAo8","TWICE","CRY FOR ME","JYP Entertainment",122,122,2,"3283"
124,"spotify:track:46qcoYJhhjkQoSfMjKs6sO","BTS","Not Today","BIGHIT MUSIC",124,161,2,"3262"
125,"spotify:track:3NfgdU9mbIVhcJF3XvC0c9","OH MY GIRL","Dolphin","WM ENTERTAINMENT INC.",125,176,2,"3247"
126,"spotify:track:6z1kLsntE7FuzKZHZWrXYN","DEAN","instagram","Universal Music Ltd.",126,139,2,"3243"
127,"spotify:track:0E4Y1XIbs8GrAT1YqVy6dq","Ed Sheeran","Afterglow","Atlantic Records UK",120,120,2,"3230"
128,"spotify:track:7Acvy2L38SCipAeMPOK8Ro","LeeHi","HOLO","Genie Music Corporation, Stone Music Entertainment",128,165,2,"3221"
129,"spotify:track:2J0X46UkpfLlWbuCXFgDLr","Steve Aoki, BTS","Waste It On Me (feat. BTS)","Ultra Records, LLC",129,151,2,"3205"
130,"spotify:track:7iKDsPfLT0d5mu2htfMKBZ","BLACKPINK","Love To Hate Me","YG Entertainment",130,174,2,"3200"
131,"spotify:track:2iUXsYOEPhVqEBwsqP70rE","5 Seconds of Summer","Youngblood","Capitol",131,-1,1,"3194"
132,"spotify:track:41nIJJ34mcu0Xlju1CDKjn","BTS","Interlude : Shadow","BIGHIT MUSIC",132,180,2,"3164"
133,"spotify:track:18uwL0vNUanqZH0ro2QcOP","Jeremy Zucker","comethru","Republic Records",133,149,2,"3149"
134,"spotify:track:5F3whjI23ic3OqMepUWIii","BTS","하루만","BIGHIT MUSIC",134,-1,1,"3145"
135,"spotify:track:45bE4HXI0AwGZXfZtMp8JR","Tate McRae","you broke me first","RCA Records Label",92,92,2,"3134"
136,"spotify:track:5p10VwQ8LRoyTc8LFrvPw6","BTS","Outro: Tear","BIGHIT MUSIC",136,155,2,"3130"
137,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",113,113,2,"3126"
138,"spotify:track:3afkJSKX0EAMsJXTZnDXXJ","Troye Sivan","Strawberries & Cigarettes","EMI Recorded Music Australia Pty Ltd",108,108,2,"3110"
139,"spotify:track:6tCssnvTUREcperDOUTqvA","ITZY","WANNABE","JYP Entertainment",139,-1,1,"3077"
140,"spotify:track:5uHrWZqndnheP1qtYr6xGC","Agust D","Moonlight","BIGHIT MUSIC",72,72,2,"3051"
141,"spotify:track:0uiv87qsv7kOjBO8jDbZeh","BTS","Run","BIGHIT MUSIC",141,-1,1,"3045"
142,"spotify:track:6Mcw9SkDRCOF71bFO4cv0B","BTS","Butterfly","BIGHIT MUSIC",142,183,2,"3030"
143,"spotify:track:1OqDvYVDhJyFZny7XlfIyZ","BTS","Let Go","Universal Music LLC",143,158,2,"3019"
144,"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran, Justin Bieber","I Don't Care (with Justin Bieber)","Atlantic Records UK",144,-1,1,"3003"
145,"spotify:track:2etHQJxIbV0soyPhelVs9Y","Saweetie, Doja Cat","Best Friend (feat. Doja Cat)","ICY/Warner Records",76,76,2,"2999"
146,"spotify:track:7IXi8qEDc9oASO5LTx19nT","NCT U","My Everything","SM Entertainment",104,104,2,"2985"
147,"spotify:track:53BHUFdQphHiZUUG3nx9zn","AJR","Bang!","S-Curve Records",114,114,2,"2984"
148,"spotify:track:4c1WgUnHXq2LEncGHKgj1I","BTS, Charli xcx","Dream Glow (BTS World Original Soundtrack) (Pt. 1)","BIGHIT MUSIC",148,189,2,"2984"
149,"spotify:track:1ZPpGPko8oULTmi34rozMh","BTS","Trivia 轉 : Seesaw","BIGHIT MUSIC",149,-1,1,"2980"
150,"spotify:track:4xTBGxSMgxcpJjMNnIKTl5","BTS","Stigma","BIGHIT MUSIC",150,181,2,"2972"
151,"spotify:track:4fFfyouye6vrX9o9z4PVMu","Lauv","Never Not","Lauv",151,159,2,"2964"
152,"spotify:track:6kKC35sKUh2FUx4M0qAL44","BAEKHYUN","Candy","SM Entertainment",91,91,2,"2950"
153,"spotify:track:1Slwb6dOYkBlWal1PGtnNg","Ed Sheeran","Thinking out Loud","Atlantic Records UK",153,-1,1,"2943"
154,"spotify:track:60ynsPSSKe6O3sfwRnIBRf","Doja Cat","Streets","Kemosabe Records/RCA Records",80,80,2,"2939"
155,"spotify:track:3UoULw70kMsiVXxW0L3A33","Ariana Grande","pov","Republic Records",147,147,2,"2935"
156,"spotify:track:3Z8FwOEN59mRMxDCtb8N0A","Marshmello, Halsey","Be Kind (with Halsey)","Astralwerks",146,146,2,"2927"
157,"spotify:track:1pz24zu5H9A0S1a2NKT4F0","ZICO, IU","SoulMate (feat. IU)","SEVEN SEASONS",157,171,2,"2919"
158,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",158,-1,1,"2905"
159,"spotify:track:7LqfFlV9Nv1JxKIBeroYPL","SEVENTEEN","Left & Right","PLEDIS Entertainment",156,156,2,"2893"
160,"spotify:track:4EVl8UQ5ZseT7mQMOzXAAV","BTS","불타오르네 (Fire)","BIGHIT MUSIC",160,-1,1,"2888"
161,"spotify:track:2woXriAP3J52r5KlutnKzr","Jang Beom June","Your Shampoo Scent In The Flowers","Genie Music Corporation, Stone Music Entertainment",161,-1,1,"2878"
162,"spotify:track:2kJwzbxV2ppxnQoYw4GLBZ","JP Saxe, Julia Michaels","If the World Was Ending (feat. Julia Michaels)","Arista Records",138,138,2,"2870"
163,"spotify:track:3Ka0IJwEvxI3ssqbF48SWZ","H 3 F","How Can I","H 3 F",82,82,2,"2868"
164,"spotify:track:5EgYDyMDCi8X0zDydTF7Rb","BTS","Heartbeat (BTS World Original Soundtrack)","BIGHIT MUSIC",164,170,2,"2855"
165,"spotify:track:0EQMrxdeiBhry9JCxskko3","BTS","I'm Fine","BIGHIT MUSIC",165,-1,1,"2850"
166,"spotify:track:4vjpLMyL3ZO6aphdYr8XYw","Lauv, Troye Sivan","i'm so tired...","Lauv",166,173,2,"2846"
167,"spotify:track:6SM3TJaWkmT8Iq8l9J0BIS","BTS","Dynamite (Holiday Remix)","BIGHIT MUSIC",167,169,2,"2807"
168,"spotify:track:0EMD15EVNwDlgGH2CH6ZEL","NCT DREAM","Ridin'","SM Entertainment",168,172,2,"2800"
169,"spotify:track:4xqrdfXkTW4T0RauPLv3WA","Conan Gray","Heather","Republic Records",116,116,2,"2795"
170,"spotify:track:09IStsImFySgyp0pIQdqAc","Zedd, Maren Morris, Grey","The Middle","UMGRI Interscope",170,-1,1,"2793"
171,"spotify:track:1EH4ZsNGE01TWEvhDaFAMZ","BTS","뱁새","BIGHIT MUSIC",171,-1,1,"2788"
172,"spotify:track:71WZ7yFuwxmQz5jJUpvkGv","DAY6","예뻤어","JYP Entertainment",140,140,2,"2780"
173,"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Justin Bieber","Sorry","RBMG/Def Jam",173,-1,1,"2779"
174,"spotify:track:7ju97lgwC2rKQ6wwsf9no9","Lady Gaga, Ariana Grande","Rain On Me (with Ariana Grande)","Interscope",174,177,2,"2761"
175,"spotify:track:27OeeYzk6klgBh83TSvGMA","The Kid LAROI","WITHOUT YOU","Columbia",79,79,2,"2758"
176,"spotify:track:3o8QzWsiiqTUVgBZfHgF58","NCT 127","Cherry Bomb","SM Entertainment",176,184,2,"2750"
177,"spotify:track:6KfoDhO4XUWSbnyKjNp9c4","Conan Gray","Maniac","Republic Records",131,131,2,"2716"
178,"spotify:track:1GkHyypTFkUf0QQKwYoXH4","benny blanco, Marshmello, Vance Joy","You (with Marshmello & Vance Joy)","Interscope / Friends Keep Secrets / Joytime Collective",97,97,2,"2716"
179,"spotify:track:0oanbKJIff7s5e7EhckbI7","BTS","Begin","BIGHIT MUSIC",179,-1,1,"2704"
180,"spotify:track:4kIpBfvK44bxqX7zo8K1oP","Gaho","시작","(주)블렌딩",180,-1,1,"2703"
181,"spotify:track:2lHmx4nJOTGHx2PkEFMADF","lIlBOI, YUMDDA, GIRIBOY, Zion.T","CREDIT (Feat. YUMDDA, GIRIBOY, Zion.T)","Stone Music Entertainment",157,157,2,"2683"
182,"spotify:track:2aI2k39nfa3KFsa4JclQzw","BLACKPINK","DDU-DU DDU-DU","YG Entertainment",182,-1,1,"2677"
183,"spotify:track:03B2SfXuvDh1m9F4tqrX07","Sabrina Carpenter","Skin","Island Records",127,127,2,"2677"
184,"spotify:track:3b80IqPWhMgFA4RXFQLpFz","MIRANI, GroovyRoom, pH-1, HAON","Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)","Stone Music Entertainment",184,-1,1,"2676"
185,"spotify:track:0prNGof3XqfTvNDxHonvdK","Alessia Cara","Scars To Your Beautiful","EP Entertainment, LLC / Def Jam",185,-1,1,"2669"
186,"spotify:track:03TdLY0nav9sQ3kyjbyJ9t","Lim Changjung","Love Should Not Be Harsh on You","YES IM ENTERTAINMENT",186,-1,1,"2660"
187,"spotify:track:7qq0EOPW4RRlqdvMBmdd73","BLACKPINK","Crazy Over You","YG Entertainment",187,-1,1,"2651"
188,"spotify:track:4umIPjkehX1r7uhmGvXiSV","Justin Bieber, Quavo","Intentions (feat. Quavo)","RBMG/Def Jam",160,160,2,"2647"
189,"spotify:track:7hxHWCCAIIxFLCzvDgnQHX","Internet Money, Gunna, Don Toliver, NAV","Lemonade (feat. NAV)","Internet Money Records / TenThousand Projects",99,99,2,"2630"
190,"spotify:track:6woeVu3fVMflqen1t4N6pg","Lil Nas X, RM, BTS","Old Town Road (feat. RM of BTS) - Seoul Town Road Remix","Columbia",187,187,2,"2628"
191,"spotify:track:2Oycxb8QbPkpHTo8ZrmG0B","Miley Cyrus, Dua Lipa","Prisoner (feat. Dua Lipa)","Warner Records",133,133,2,"2610"
192,"spotify:track:26vOBLHS116a4WNUVlvAUW","NCT DREAM","We Go Up","SM Entertainment",192,-1,1,"2603"
193,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",132,132,2,"2587"
194,"spotify:track:0cRo5ewMI3AjlUaW0htTWv","BTS","상남자 (Boy in Luv)","BIGHIT MUSIC",194,-1,1,"2564"
195,"spotify:track:4aQx3giaLD2sybftDoxI6l","BTS","흥탄소년단","BIGHIT MUSIC",195,-1,1,"2561"
196,"spotify:track:5XkyZyKMdFungjDb9cUKc3","BTS, Zara Larsson","A Brand New Day (BTS World Original Soundtrack) (Pt. 2)","BIGHIT MUSIC",196,-1,1,"2560"
197,"spotify:track:22vgEDb5hykfaTwLuskFGD","Jonas Brothers","Sucker","Jonas Brothers Recording",197,-1,1,"2539"
198,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Justin Bieber","Love Yourself","RBMG/Def Jam",198,-1,1,"2535"
